date,value
2021-10-01,4250.56005859375
2021-11-01,4063.06005859375
2021-12-01,4298.41015625
2022-01-01,4174.60009765625
2022-02-01,3924.22998046875
2022-03-01,3902.52001953125
2022-04-01,3802.860107421875
2022-05-01,3789.2099609375
2022-06-01,3454.860107421875
2022-07-01,3708.10009765625
2022-08-01,3517.25
2022-09-01,3318.199951171875
2022-10-01,3617.5400390625
2022-11-01,3964.719970703125
2022-12-01,3793.6201171875
2023-01-01,4163.4501953125
2023-02-01,4238.3798828125
2023-03-01,4315.0498046875
2023-04-01,4359.31005859375
2023-05-01,4218.0400390625
2023-06-01,4399.08984375
2023-07-01,4471.31005859375
2023-08-01,4297.10986328125
2023-09-01,4174.66015625
2023-10-01,4061.1201171875
2023-11-01,4382.47021484375
2023-12-01,4521.64990234375
2024-01-01,4648.39990234375
2024-02-01,4877.77001953125
2024-03-01,5083.419921875
2024-04-01,4921.22021484375
2024-05-01,4983.669921875
2024-06-01,4894.02001953125
2024-07-01,4872.93994140625
2024-08-01,4957.97998046875
2024-09-01,5000.4501953125
2024-10-01,4827.6298828125
2024-11-01,4804.39990234375
2024-12-01,4895.97998046875
2025-01-01,5286.8701171875
2025-02-01,5463.5400390625
2025-03-01,5248.39013671875
2025-04-01,5160.22021484375
2025-05-01,5366.58984375
2025-06-01,5303.240234375
2025-07-01,5319.919921875
2025-08-01,5351.72998046875
2025-09-01,5529.9599609375
2025-10-01,5662.0400390625
2025-11-01,5668.169921875
2025-12-01,5791.41015625
2026-01-01,5947.81005859375
2026-02-01,6138.41015625
2026-03-01,5569.72998046875
2026-04-01,5881.509765625
2026-05-01,6050.5400390625
2026-06-01,6328.08984375
2026-07-01,6358.009765625
2026-08-01,6420.16015625
2026-09-01,6236.2001953125
