benchmark,risk_measure,risk_level,frontier_point,position,of,expected_return,risk_annualised,IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash
CPI,symmetric,low,min_risk,1,12,0.050275120866274316,0.06882381601775056,0.15,0.14,0.1,0.15,0.2,0.15,0.11
CPI,symmetric,low_medium,k=3,4,12,0.06442348345410463,0.08714661477839317,0.19,0.21,0.2,0.08,0.13,0.12,0.07
CPI,symmetric,medium,k=6,7,12,0.07857184604196844,0.10699191864761035,0.24,0.28,0.29,0.02,0.05,0.08,0.04
CPI,symmetric,risk_oriented,k=8,9,12,0.08800408776723369,0.12192354447052459,0.26,0.33,0.37,0.0,0.0,0.04,0.0
CPI,symmetric,high,max_return,12,12,0.10215245035509243,0.14304079180483217,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CPI,asymmetric,low,min_risk,1,12,0.05090949934448233,0.04262660147937773,0.15,0.15,0.1,0.15,0.2,0.15,0.1
CPI,asymmetric,low_medium,k=3,4,12,0.06488484962008997,0.052052755600499954,0.19,0.22,0.2,0.08,0.13,0.11,0.07
CPI,asymmetric,medium,k=6,7,12,0.07886019989569384,0.06185764691860566,0.24,0.28,0.3,0.02,0.05,0.08,0.03
CPI,asymmetric,risk_oriented,k=8,9,12,0.08817710007947499,0.0690021240601177,0.26,0.33,0.37,0.0,0.0,0.04,0.0
CPI,asymmetric,high,max_return,12,12,0.10215245035509243,0.06893980334145745,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CPI,markowitz,low,min_risk,1,12,0.04994492916690124,0.07618341623198785,0.14,0.14,0.09,0.15,0.21,0.16,0.11
CPI,markowitz,low_medium,k=3,4,12,0.06418334403645157,0.09818562615606417,0.19,0.21,0.19,0.08,0.13,0.12,0.08
CPI,markowitz,medium,k=6,7,12,0.07842175890588747,0.12148680422426761,0.24,0.28,0.29,0.02,0.05,0.08,0.04
CPI,markowitz,risk_oriented,k=8,9,12,0.08791403548558323,0.13915947745350224,0.26,0.33,0.37,0.0,0.0,0.04,0.0
CPI,markowitz,high,max_return,12,12,0.10215245035509243,0.16252429244615468,0.0,0.0,1.0,0.0,0.0,0.0,0.0
USD,symmetric,low,min_risk,1,12,0.04922599450874652,0.15188028606001958,0.14,0.14,0.09,0.15,0.21,0.16,0.11
USD,symmetric,low_medium,k=3,4,12,0.06366048246688592,0.16928564984970068,0.18,0.21,0.19,0.09,0.13,0.12,0.08
USD,symmetric,medium,k=6,7,12,0.07809497042489051,0.18783830918271285,0.23,0.28,0.29,0.01,0.06,0.09,0.04
USD,symmetric,risk_oriented,k=8,9,12,0.08771796239703562,0.20210520583248498,0.26,0.32,0.37,0.0,0.0,0.05,0.0
USD,symmetric,high,max_return,12,12,0.10215245035509243,0.21311100811592468,0.0,0.0,1.0,0.0,0.0,0.0,0.0
USD,asymmetric,low,min_risk,1,12,0.05059851105592542,0.09111867372660275,0.14,0.15,0.1,0.15,0.2,0.15,0.11
USD,asymmetric,low_medium,k=3,4,12,0.06465867631935399,0.10008799281363802,0.19,0.21,0.2,0.08,0.13,0.12,0.07
